Year,SERIES,Sex,Value
2013,Proportion of population subjected to physical violence in the previous 12 months [16.1.3],Female,6.1
2013,Proportion of population subjected to physical violence in the previous 12 months [16.1.3],Male,2.1
2013,Proportion of population subjected to sexual violence in the previous 12 months [16.1.3],Female,2.5
2013,Proportion of population subjected to sexual violence in the previous 12 months [16.1.3],Male,1.4
2013,Proportion of population subjected to psycological violence in the previous 12 months [16.1.3],Female,9.3
2013,Proportion of population subjected to psycological violence in the previous 12 months [16.1.3],Male,7.9
2013,Proportion of population subjected to social violence in the previous 12 months [16.1.3],Female,11.6
2013,Proportion of population subjected to social violence in the previous 12 months [16.1.3],Male,7.7
2013,Proportion of population subjected to economic violence in the previous 12 months [16.1.3],Female,12.8
2013,Proportion of population subjected to economic violence in the previous 12 months [16.1.3],Male,7.3
2015,Proportion of population subjected to social violence in the previous 12 months [16.1.3],Female,20.8
2015,Proportion of population subjected to social violence in the previous 12 months [16.1.3],Male,18.7
2015,Proportion of population subjected to physical violence in the previous 12 months [16.1.3],Female,8.9
2015,Proportion of population subjected to physical violence in the previous 12 months [16.1.3],Male,10.2
2015,Proportion of population subjected to sexual violence in the previous 12 months [16.1.3],Female,10.6
2015,Proportion of population subjected to sexual violence in the previous 12 months [16.1.3],Male,9.5
2015,Proportion of population subjected to psycological violence in the previous 12 months [16.1.3],Female,22.5
2015,Proportion of population subjected to psycological violence in the previous 12 months [16.1.3],Male,28.0
2015,Proportion of population subjected to economic violence in the previous 12 months [16.1.3],Female,14.4
2015,Proportion of population subjected to economic violence in the previous 12 months [16.1.3],Male,12.2
