Year,OBS_STATUS,UNIT_MULT,SERIES,REF_AREA,UNIT_MEASURE,GeoCode,Value
2015,A,0,_L_GH_140501_01,,IX,,63.59
2016,A,0,_L_GH_140501_01,,IX,,63.99
2017,A,0,_L_GH_140501_01,,IX,,62.99
2018,A,0,_L_GH_140501_01,,IX,,62.17
2019,A,0,_L_GH_140501_01,,IX,,58.93
2015,A,0,_L_GH_140501_02,,IX,,53.68
2016,A,0,_L_GH_140501_02,,IX,,53.03
2017,A,0,_L_GH_140501_02,,IX,,52.66
2018,A,0,_L_GH_140501_02,,IX,,52.75
2019,A,0,_L_GH_140501_02,,IX,,58.61
2015,A,0,_L_GH_140501_03,,IX,,53.68
2016,A,0,_L_GH_140501_03,,IX,,53.03
2017,A,0,_L_GH_140501_03,,IX,,52.66
2018,A,0,_L_GH_140501_03,,IX,,52.75
2019,A,0,_L_GH_140501_03,,IX,,58.61
2015,A,0,_L_GH_140501_05,,IX,,47.42
2016,A,0,_L_GH_140501_05,,IX,,47.29
2017,A,0,_L_GH_140501_05,,IX,,47.33
2018,A,0,_L_GH_140501_05,,IX,,47.64
2019,A,0,_L_GH_140501_05,,IX,,47.6
2015,A,0,_L_GH_140501_06,,IX,,68.25
2016,A,0,_L_GH_140501_06,,IX,,75.8
2017,A,0,_L_GH_140501_06,,IX,,67.58
2018,A,0,_L_GH_140501_06,,IX,,60.28
2019,A,0,_L_GH_140501_06,,IX,,4.66
2015,A,0,_L_GH_140501_07,,IX,,99.77
2016,A,0,_L_GH_140501_07,,IX,,99.77
2017,A,0,_L_GH_140501_07,,IX,,99.77
2018,A,0,_L_GH_140501_07,,IX,,99.77
2019,A,0,_L_GH_140501_07,,IX,,99.77
2015,A,0,_L_GH_140501_08,,IX,,99.86
2016,A,0,_L_GH_140501_08,,IX,,99.86
2017,A,0,_L_GH_140501_08,,IX,,99.86
2018,A,0,_L_GH_140501_08,,IX,,99.86
2019,A,0,_L_GH_140501_08,,IX,,99.86
2015,A,0,_L_GH_140501_09,,IX,,94.68
2016,A,0,_L_GH_140501_09,,IX,,94.68
2017,A,0,_L_GH_140501_09,,IX,,94.68
2018,A,0,_L_GH_140501_09,,IX,,94.68
2019,A,0,_L_GH_140501_09,,IX,,94.68
2015,A,0,_L_GH_140501_10,,IX,,89.35
2016,A,0,_L_GH_140501_10,,IX,,89.35
2017,A,0,_L_GH_140501_10,,IX,,89.35
2018,A,0,_L_GH_140501_10,,IX,,89.35
2019,A,0,_L_GH_140501_10,,IX,,89.36
2015,A,0,_L_GH_140501_11,,IX,,100.0
2016,A,0,_L_GH_140501_11,,IX,,100.0
2017,A,0,_L_GH_140501_11,,IX,,100.0
2018,A,0,_L_GH_140501_11,,IX,,100.0
2019,A,0,_L_GH_140501_11,,IX,,100.0
2015,A,0,_L_GH_140501_12,,IX,,17.48
2016,A,0,_L_GH_140501_12,,IX,,15.65
2017,A,0,_L_GH_140501_12,,IX,,14.47
2018,A,0,_L_GH_140501_12,,IX,,14.81
2019,A,0,_L_GH_140501_12,,IX,,15.42
2015,A,0,_L_GH_140501_13,,IX,,37.72
2016,A,0,_L_GH_140501_13,,IX,,36.7
2017,A,0,_L_GH_140501_13,,IX,,36.68
2018,A,0,_L_GH_140501_13,,IX,,36.64
2019,A,0,_L_GH_140501_13,,IX,,36.69
2015,A,0,_L_GH_140501_14,,IX,,72.74
2016,A,0,_L_GH_140501_14,,IX,,70.7
2017,A,0,_L_GH_140501_14,,IX,,70.67
2018,A,0,_L_GH_140501_14,,IX,,70.58
2019,A,0,_L_GH_140501_14,,IX,,71.94
2015,A,0,_L_GH_140501_15,,IX,,2.7
2016,A,0,_L_GH_140501_15,,IX,,2.69
2017,A,0,_L_GH_140501_15,,IX,,2.69
2018,A,0,_L_GH_140501_15,,IX,,2.7
2019,A,0,_L_GH_140501_15,,IX,,1.45
2015,A,0,_L_GH_140501_16,,IX,,31.92
2016,A,0,_L_GH_140501_16,,IX,,32.05
2017,A,0,_L_GH_140501_16,,IX,,31.68
2018,A,0,_L_GH_140501_16,,IX,,31.27
2019,A,0,_L_GH_140501_16,,IX,,39.96
2015,A,0,_L_GH_140501_17,,IX,,85.1
2016,A,0,_L_GH_140501_17,,IX,,85.04
2017,A,0,_L_GH_140501_17,,IX,,85.15
2018,A,0,_L_GH_140501_17,,IX,,83.99
2019,A,0,_L_GH_140501_17,,IX,,92.08
2015,A,0,_L_GH_140501_18,,IX,,90.97
2016,A,0,_L_GH_140501_18,,IX,,91.17
2017,A,0,_L_GH_140501_18,,IX,,91.6
2018,A,0,_L_GH_140501_18,,IX,,89.66
2019,A,0,_L_GH_140501_18,,IX,,90.64
2015,A,0,_L_GH_140501_19,,IX,,79.24
2016,A,0,_L_GH_140501_19,,IX,,78.9
2017,A,0,_L_GH_140501_19,,IX,,78.69
2018,A,0,_L_GH_140501_19,,IX,,78.31
2019,A,0,_L_GH_140501_19,,IX,,93.53
