Year,SERIES,COMPOSITE_BREAKDOWN,UNIT_MEASURE,Value
2016,Official development assistance grants for poverty reduction (percentage of GNI) [1.a.1],,Percent,1.0
2017,Official development assistance grants for poverty reduction (percentage of GNI) [1.a.1],,Percent,1.1
2018,Official development assistance grants for poverty reduction (percentage of GNI) [1.a.1],,Percent,0.51
2019,Official development assistance grants for poverty reduction (percentage of GNI) [1.a.1],,Percent,0.7
2020,Official development assistance grants for poverty reduction (percentage of GNI) [1.a.1],,Percent,0.71
2019,Budget Allocation towards Extreme poverty (in million Ghana Cedi),Government of Ghana,Ghana Cedi,79.59
2019,Budget Allocation towards Extreme poverty (in million Ghana Cedi),Internally Generated Funds,Ghana Cedi,0.02
2019,Budget Allocation towards Extreme poverty (in million Ghana Cedi),Other Fund,Ghana Cedi,65.4
2019,Budget Allocation towards Extreme poverty (in million Ghana Cedi),Statutory,Ghana Cedi,0.51
2019,Budget Allocation towards Extreme poverty (in million Ghana Cedi),Development Partner,Ghana Cedi,0.0
2019,Budget Allocation towards Extreme poverty (in million Ghana Cedi),,Ghana Cedi,145.52
2019,"Budget Allocation towards reducing poverty proportion of men, women and children by at least half (in million Ghana Cedi)",Government of Ghana,Ghana Cedi,0.16
2019,"Budget Allocation towards reducing poverty proportion of men, women and children by at least half (in million Ghana Cedi)",Internally Generated Funds,Ghana Cedi,0.05
2019,"Budget Allocation towards reducing poverty proportion of men, women and children by at least half (in million Ghana Cedi)",Other Fund,Ghana Cedi,0.0
2019,"Budget Allocation towards reducing poverty proportion of men, women and children by at least half (in million Ghana Cedi)",Statutory,Ghana Cedi,1.53
2019,"Budget Allocation towards reducing poverty proportion of men, women and children by at least half (in million Ghana Cedi)",Development Partner,Ghana Cedi,0.0
2019,"Budget Allocation towards reducing poverty proportion of men, women and children by at least half (in million Ghana Cedi)",,Ghana Cedi,1.75
2019,Budget Allocation towards Social dimension (in million Ghana Cedi),Government of Ghana,Ghana Cedi,170.08
2019,Budget Allocation towards Social dimension (in million Ghana Cedi),Internally Generated Funds,Ghana Cedi,1.26
2019,Budget Allocation towards Social dimension (in million Ghana Cedi),Other Fund,Ghana Cedi,0.53
2019,Budget Allocation towards Social dimension (in million Ghana Cedi),Statutory,Ghana Cedi,20.7
2019,Budget Allocation towards Social dimension (in million Ghana Cedi),Development Partner,Ghana Cedi,1.64
2019,Budget Allocation towards Social dimension (in million Ghana Cedi),,Ghana Cedi,194.21
2019,Budget Allocation towards Equal rights to basic services (in million Ghana Cedi),Government of Ghana,Ghana Cedi,0.12
2019,Budget Allocation towards Equal rights to basic services (in million Ghana Cedi),Internally Generated Funds,Ghana Cedi,0.03
2019,Budget Allocation towards Equal rights to basic services (in million Ghana Cedi),Other Fund,Ghana Cedi,0.0
2019,Budget Allocation towards Equal rights to basic services (in million Ghana Cedi),Statutory,Ghana Cedi,1.75
2019,Budget Allocation towards Equal rights to basic services (in million Ghana Cedi),Development Partner,Ghana Cedi,0.0
2019,Budget Allocation towards Equal rights to basic services (in million Ghana Cedi),,Ghana Cedi,1.89
2019,Budget Allocation towards Building resilience of the poor and vulnerable (in million Ghana Cedi),Government of Ghana,Ghana Cedi,12.38
2019,Budget Allocation towards Building resilience of the poor and vulnerable (in million Ghana Cedi),Internally Generated Funds,Ghana Cedi,0.77
2019,Budget Allocation towards Building resilience of the poor and vulnerable (in million Ghana Cedi),Other Fund,Ghana Cedi,0.78
2019,Budget Allocation towards Building resilience of the poor and vulnerable (in million Ghana Cedi),Statutory,Ghana Cedi,7.58
2019,Budget Allocation towards Building resilience of the poor and vulnerable (in million Ghana Cedi),Development Partner,Ghana Cedi,4.85
2019,Budget Allocation towards Building resilience of the poor and vulnerable (in million Ghana Cedi),,Ghana Cedi,26.35
2019,Budget Allocation towards Mobilisation of resources (in million Ghana Cedi),Government of Ghana,Ghana Cedi,0.11
2019,Budget Allocation towards Mobilisation of resources (in million Ghana Cedi),Internally Generated Funds,Ghana Cedi,0.11
2019,Budget Allocation towards Mobilisation of resources (in million Ghana Cedi),Other Fund,Ghana Cedi,0.0
2019,Budget Allocation towards Mobilisation of resources (in million Ghana Cedi),Statutory,Ghana Cedi,0.87
2019,Budget Allocation towards Mobilisation of resources (in million Ghana Cedi),Development Partner,Ghana Cedi,0.05
2019,Budget Allocation towards Mobilisation of resources (in million Ghana Cedi),,Ghana Cedi,1.14
2019,Budget Allocation towards Pro-poor and Gender (in million Ghana Cedi),Government of Ghana,Ghana Cedi,11.49
2019,Budget Allocation towards Pro-poor and Gender (in million Ghana Cedi),Internally Generated Funds,Ghana Cedi,0.07
2019,Budget Allocation towards Pro-poor and Gender (in million Ghana Cedi),Other Fund,Ghana Cedi,0.04
2019,Budget Allocation towards Pro-poor and Gender (in million Ghana Cedi),Statutory,Ghana Cedi,1.15
2019,Budget Allocation towards Pro-poor and Gender (in million Ghana Cedi),Development Partner,Ghana Cedi,0.0
2019,Budget Allocation towards Pro-poor and Gender (in million Ghana Cedi),,Ghana Cedi,12.75
