Year,SERIES,Value
2017,Number of registered mobile money accounts,23.9
2018,Number of registered mobile money accounts,32.6
2019,Number of registered mobile money accounts,32.5
2020,Number of registered mobile money accounts,38.5
2021,Number of registered mobile money accounts,48.3
2017,Number of active mobile money accounts,11.1
2018,Number of active mobile money accounts,13.1
2019,Number of active mobile money accounts,14.5
2020,Number of active mobile money accounts,17.1
2021,Number of active mobile money accounts,17.9
