Year,Observation status,Unit multiplier,SERIES,Reference area,Sex,Degree of urbanisation,UNIT_MEASURE,GeoCode,Value
2006,Normal value,Units,Proportion of individuals using the internet,,,,Percent,,1.5
2013,Normal value,Units,Proportion of individuals using the internet,,,,Percent,,56.6
2017,Normal value,Units,Proportion of individuals using the internet,,,,Percent,,98.9
2006,Normal value,Units,Proportion of individuals using the internet,,,Rural,Percent,,0.1
2013,Normal value,Units,Proportion of individuals using the internet,,,Rural,Percent,,42.1
2017,Normal value,Units,Proportion of individuals using the internet,,,Rural,Percent,,97.9
2006,Normal value,Units,Proportion of individuals using the internet,,,Urban,Percent,,3.9
2013,Normal value,Units,Proportion of individuals using the internet,,,Urban,Percent,,59.3
2017,Normal value,Units,Proportion of individuals using the internet,,,Urban,Percent,,98.4
2006,Normal value,Units,Proportion of individuals using the internet,,Male,,Percent,,1.6
2013,Normal value,Units,Proportion of individuals using the internet,,Male,,Percent,,58.7
2017,Normal value,Units,Proportion of individuals using the internet,,Male,,Percent,,98.4
2006,Normal value,Units,Proportion of individuals using the internet,,Female,,Percent,,1.5
2013,Normal value,Units,Proportion of individuals using the internet,,Female,,Percent,,54.7
2017,Normal value,Units,Proportion of individuals using the internet,,Female,,Percent,,98.0
2006,Normal value,Units,Proportion of individuals using the internet,Western,,,Percent,01_o,0.6
2013,Normal value,Units,Proportion of individuals using the internet,Western,,,Percent,01_o,84.8
2017,Normal value,Units,Proportion of individuals using the internet,Western,,,Percent,01_o,97.4
2006,Normal value,Units,Proportion of individuals using the internet,Central,,,Percent,02_o,1.1
2013,Normal value,Units,Proportion of individuals using the internet,Central,,,Percent,02_o,46.0
2017,Normal value,Units,Proportion of individuals using the internet,Central,,,Percent,02_o,98.2
2006,Normal value,Units,Proportion of individuals using the internet,Greater Accra,,,Percent,03_o,6.9
2013,Normal value,Units,Proportion of individuals using the internet,Greater Accra,,,Percent,03_o,73.0
2017,Normal value,Units,Proportion of individuals using the internet,Greater Accra,,,Percent,03_o,98.6
2006,Normal value,Units,Proportion of individuals using the internet,Volta,,,Percent,04_o,0.3
2013,Normal value,Units,Proportion of individuals using the internet,Volta,,,Percent,04_o,43.3
2017,Normal value,Units,Proportion of individuals using the internet,Volta,,,Percent,04_o,97.5
2006,Normal value,Units,Proportion of individuals using the internet,Eastern,,,Percent,05_o,0.6
2013,Normal value,Units,Proportion of individuals using the internet,Eastern,,,Percent,05_o,33.9
2017,Normal value,Units,Proportion of individuals using the internet,Eastern,,,Percent,05_o,98.1
2006,Normal value,Units,Proportion of individuals using the internet,Ashanti,,,Percent,06_o,0.8
2013,Normal value,Units,Proportion of individuals using the internet,Ashanti,,,Percent,06_o,53.5
2017,Normal value,Units,Proportion of individuals using the internet,Ashanti,,,Percent,06_o,99.0
2006,Normal value,Units,Proportion of individuals using the internet,Brong Ahafo,,,Percent,07_o,0.8
2013,Normal value,Units,Proportion of individuals using the internet,Brong Ahafo,,,Percent,07_o,39.3
2017,Normal value,Units,Proportion of individuals using the internet,Brong Ahafo,,,Percent,07_o,98.3
2006,Normal value,Units,Proportion of individuals using the internet,Northern,,,Percent,08_o,0.9
2013,Normal value,Units,Proportion of individuals using the internet,Northern,,,Percent,08_o,62.1
2017,Normal value,Units,Proportion of individuals using the internet,Northern,,,Percent,08_o,97.1
2006,Normal value,Units,Proportion of individuals using the internet,Upper East,,,Percent,09_o,0.1
2013,Normal value,Units,Proportion of individuals using the internet,Upper East,,,Percent,09_o,21.9
2017,Normal value,Units,Proportion of individuals using the internet,Upper East,,,Percent,09_o,98.2
2006,Normal value,Units,Proportion of individuals using the internet,Upper West,,,Percent,10_o,0.0
2013,Normal value,Units,Proportion of individuals using the internet,Upper West,,,Percent,10_o,73.1
2017,Normal value,Units,Proportion of individuals using the internet,Upper West,,,Percent,10_o,98.5
