Year,OBS_STATUS,UNIT_MULT,SERIES,REF_AREA,UNIT_MEASURE,GeoCode,Value
2016,A,0,SH_HIV_INCD,,PER_1000_UNINFECTED_POP,,0.71
2017,A,0,SH_HIV_INCD,,PER_1000_UNINFECTED_POP,,0.69
2018,A,0,SH_HIV_INCD,,PER_1000_UNINFECTED_POP,,0.69
2019,A,0,SH_HIV_INCD,,PER_1000_UNINFECTED_POP,,0.66
2020,A,0,SH_HIV_INCD,,PER_1000_UNINFECTED_POP,,0.57
2016,A,0,_L_GH_030301,,NUMBER,,20323.0
2017,A,0,_L_GH_030301,,NUMBER,,20184.0
2018,A,0,_L_GH_030301,,NUMBER,,20393.0
2019,A,0,_L_GH_030301,,NUMBER,,20068.0
2020,A,0,_L_GH_030301,,NUMBER,,17581.0
