Year,REF_AREA,SEX,URBANISATION,GeoCode,Value
2011,,,,,80.3
2011,,M,,,79.4
2011,,F,,,81.1
2011,,,U,,81.4
2011,,,R,,79.5
2011,01_o,,,01_o,81.6
2011,02_o,,,02_o,87.1
2011,03_o,,,03_o,84.1
2011,04_o,,,04_o,91.4
2011,05_o,,,05_o,72.2
2011,06_o,,,06_o,59.7
2011,07_o,,,07_o,87.7
2011,08_o,,,08_o,89.0
2011,09_o,,,09_o,74.5
2011,10_o,,,10_o,65.4
2017,,,,,88.1
2017,,M,,,86.0
2017,,F,,,90.1
2017,,,U,,94.0
2017,,,R,,83.4
2017,01_o,,,01_o,89.6
2017,02_o,,,02_o,95.0
2017,03_o,,,03_o,95.3
2017,04_o,,,04_o,79.4
2017,05_o,,,05_o,89.2
2017,06_o,,,06_o,96.0
2017,07_o,,,07_o,83.9
2017,08_o,,,08_o,72.4
2017,09_o,,,09_o,86.1
2017,10_o,,,10_o,71.0
