Year,OBS_STATUS,UNIT_MULT,SERIES,REF_AREA,SEX,URBANISATION,UNIT_MEASURE,GeoCode,Value
2006,A,0,_L_GH_170801,,,,PT,,1.5
2013,A,0,_L_GH_170801,,,,PT,,56.6
2017,A,0,_L_GH_170801,,,,PT,,98.9
2006,A,0,_L_GH_170801,,,R,PT,,0.1
2013,A,0,_L_GH_170801,,,R,PT,,42.1
2017,A,0,_L_GH_170801,,,R,PT,,97.9
2006,A,0,_L_GH_170801,,,U,PT,,3.9
2013,A,0,_L_GH_170801,,,U,PT,,59.3
2017,A,0,_L_GH_170801,,,U,PT,,98.4
2006,A,0,_L_GH_170801,,M,,PT,,1.6
2013,A,0,_L_GH_170801,,M,,PT,,58.7
2017,A,0,_L_GH_170801,,M,,PT,,98.4
2006,A,0,_L_GH_170801,,F,,PT,,1.5
2013,A,0,_L_GH_170801,,F,,PT,,54.7
2017,A,0,_L_GH_170801,,F,,PT,,98.0
2006,A,0,_L_GH_170801,01_o,,,PT,01_o,0.6
2013,A,0,_L_GH_170801,01_o,,,PT,01_o,84.8
2017,A,0,_L_GH_170801,01_o,,,PT,01_o,97.4
2006,A,0,_L_GH_170801,02_o,,,PT,02_o,1.1
2013,A,0,_L_GH_170801,02_o,,,PT,02_o,46.0
2017,A,0,_L_GH_170801,02_o,,,PT,02_o,98.2
2006,A,0,_L_GH_170801,03_o,,,PT,03_o,6.9
2013,A,0,_L_GH_170801,03_o,,,PT,03_o,73.0
2017,A,0,_L_GH_170801,03_o,,,PT,03_o,98.6
2006,A,0,_L_GH_170801,04_o,,,PT,04_o,0.3
2013,A,0,_L_GH_170801,04_o,,,PT,04_o,43.3
2017,A,0,_L_GH_170801,04_o,,,PT,04_o,97.5
2006,A,0,_L_GH_170801,05_o,,,PT,05_o,0.6
2013,A,0,_L_GH_170801,05_o,,,PT,05_o,33.9
2017,A,0,_L_GH_170801,05_o,,,PT,05_o,98.1
2006,A,0,_L_GH_170801,06_o,,,PT,06_o,0.8
2013,A,0,_L_GH_170801,06_o,,,PT,06_o,53.5
2017,A,0,_L_GH_170801,06_o,,,PT,06_o,99.0
2006,A,0,_L_GH_170801,07_o,,,PT,07_o,0.8
2013,A,0,_L_GH_170801,07_o,,,PT,07_o,39.3
2017,A,0,_L_GH_170801,07_o,,,PT,07_o,98.3
2006,A,0,_L_GH_170801,08_o,,,PT,08_o,0.9
2013,A,0,_L_GH_170801,08_o,,,PT,08_o,62.1
2017,A,0,_L_GH_170801,08_o,,,PT,08_o,97.1
2006,A,0,_L_GH_170801,09_o,,,PT,09_o,0.1
2013,A,0,_L_GH_170801,09_o,,,PT,09_o,21.9
2017,A,0,_L_GH_170801,09_o,,,PT,09_o,98.2
2006,A,0,_L_GH_170801,10_o,,,PT,10_o,0.0
2013,A,0,_L_GH_170801,10_o,,,PT,10_o,73.1
2017,A,0,_L_GH_170801,10_o,,,PT,10_o,98.5
