Year,Value,UNIT_MEASURE,SERIES
2016,0.71,"Per 1,000 uninfected population","Number of new HIV infections per 1,000 uninfected population [3.3.1]"
2017,0.69,"Per 1,000 uninfected population","Number of new HIV infections per 1,000 uninfected population [3.3.1]"
2018,0.69,"Per 1,000 uninfected population","Number of new HIV infections per 1,000 uninfected population [3.3.1]"
2019,0.66,"Per 1,000 uninfected population","Number of new HIV infections per 1,000 uninfected population [3.3.1]"
2020,0.57,"Per 1,000 uninfected population","Number of new HIV infections per 1,000 uninfected population [3.3.1]"
2016,20323.0,Number,Number of new HIV infections [3.3.1]
2017,20184.0,Number,Number of new HIV infections [3.3.1]
2018,20393.0,Number,Number of new HIV infections [3.3.1]
2019,20068.0,Number,Number of new HIV infections [3.3.1]
2020,17581.0,Number,Number of new HIV infections [3.3.1]
