Year,Value,UNIT_MEASURE,SERIES
2016,11.7,Percentage (%),Manufacturing value added as a proportion of GDP [9.2.1]
2017,10.9,Percentage (%),Manufacturing value added as a proportion of GDP [9.2.1]
2018,10.9,Percentage (%),Manufacturing value added as a proportion of GDP [9.2.1]
2019,10.9,Percentage (%),Manufacturing value added as a proportion of GDP [9.2.1]
2020,11.7,Percentage (%),Manufacturing value added as a proportion of GDP [9.2.1]
2021,11.4,Percentage (%),Manufacturing value added as a proportion of GDP [9.2.1]
2016,839.0,Ghana Cedi,Manufacturing value added per capita [9.2.1]
2017,921.0,Ghana Cedi,Manufacturing value added per capita [9.2.1]
2018,1055.0,Ghana Cedi,Manufacturing value added per capita [9.2.1]
2019,1196.0,Ghana Cedi,Manufacturing value added per capita [9.2.1]
2020,1393.0,Ghana Cedi,Manufacturing value added per capita [9.2.1]
2021,1593.0,Ghana Cedi,Manufacturing value added per capita [9.2.1]
