Year,Value,SERIES
2016,63.19,Ocean Health Index
2017,63.74,Ocean Health Index
2018,63.92,Ocean Health Index
2019,63.44,Ocean Health Index
2020,63.32,Ocean Health Index
2021,63.26,Ocean Health Index
2016,50.11,Food provision (OHI goal)
2017,49.81,Food provision (OHI goal)
2018,49.27,Food provision (OHI goal)
2019,48.61,Food provision (OHI goal)
2020,47.71,Food provision (OHI goal)
2021,47.22,Food provision (OHI goal)
2016,50.11,Wild caught Fisheries(OHI sub-goal)
2017,49.82,Wild caught Fisheries(OHI sub-goal)
2018,49.28,Wild caught Fisheries(OHI sub-goal)
2019,48.61,Wild caught Fisheries(OHI sub-goal)
2020,47.71,Wild caught Fisheries(OHI sub-goal)
2021,47.22,Wild caught Fisheries(OHI sub-goal)
2016,0.01,Mariculture (OHI sub-goal)
2017,0.01,Mariculture (OHI sub-goal)
2018,0.01,Mariculture (OHI sub-goal)
2019,0.01,Mariculture (OHI sub-goal)
2020,0.01,Mariculture (OHI sub-goal)
2021,0.01,Mariculture (OHI sub-goal)
2016,72.01,Artisanal fishing opportunities (OHI goal)
2017,71.12,Artisanal fishing opportunities (OHI goal)
2018,69.9,Artisanal fishing opportunities (OHI goal)
2019,69.05,Artisanal fishing opportunities (OHI goal)
2020,68.33,Artisanal fishing opportunities (OHI goal)
2021,67.95,Artisanal fishing opportunities (OHI goal)
2016,55.93,Natural products (OHI goal)
2017,62.57,Natural products (OHI goal)
2018,66.79,Natural products (OHI goal)
2019,68.11,Natural products (OHI goal)
2020,68.48,Natural products (OHI goal)
2021,69.01,Natural products (OHI goal)
2016,99.09,Carbon storage (OHI goal)
2017,99.09,Carbon storage (OHI goal)
2018,99.09,Carbon storage (OHI goal)
2019,99.09,Carbon storage (OHI goal)
2020,99.09,Carbon storage (OHI goal)
2021,99.09,Carbon storage (OHI goal)
2016,98.0,Coastal protection (OHI goal)
2017,98.0,Coastal protection (OHI goal)
2018,98.0,Coastal protection (OHI goal)
2019,98.0,Coastal protection (OHI goal)
2020,98.0,Coastal protection (OHI goal)
2021,98.0,Coastal protection (OHI goal)
2016,93.84,Livelihoods & economies (OHI goal)
2017,93.84,Livelihoods & economies (OHI goal)
2018,93.84,Livelihoods & economies (OHI goal)
2019,93.84,Livelihoods & economies (OHI goal)
2020,93.84,Livelihoods & economies (OHI goal)
2021,93.84,Livelihoods & economies (OHI goal)
2016,89.35,Livelihoods (OHI sub-goal)
2017,89.35,Livelihoods (OHI sub-goal)
2018,89.35,Livelihoods (OHI sub-goal)
2019,89.35,Livelihoods (OHI sub-goal)
2020,89.35,Livelihoods (OHI sub-goal)
2021,89.35,Livelihoods (OHI sub-goal)
2016,98.32,Economies (OHI sub-goal)
2017,98.32,Economies (OHI sub-goal)
2018,98.32,Economies (OHI sub-goal)
2019,98.32,Economies (OHI sub-goal)
2020,98.32,Economies (OHI sub-goal)
2021,98.32,Economies (OHI sub-goal)
2016,10.65,Tourism & recreation (OHI goal)
2017,11.12,Tourism & recreation (OHI goal)
2018,11.15,Tourism & recreation (OHI goal)
2019,11.35,Tourism & recreation (OHI goal)
2020,11.6,Tourism & recreation (OHI goal)
2021,11.58,Tourism & recreation (OHI goal)
2016,35.46,Sense of place (OHI goal)
2017,35.44,Sense of place (OHI goal)
2018,35.42,Sense of place (OHI goal)
2019,32.25,Sense of place (OHI goal)
2020,32.18,Sense of place (OHI goal)
2021,32.11,Sense of place (OHI goal)
2016,68.18,Iconic species (OHI sub-goal)
2017,68.14,Iconic species (OHI sub-goal)
2018,68.1,Iconic species (OHI sub-goal)
2019,61.76,Iconic species (OHI sub-goal)
2020,61.63,Iconic species (OHI sub-goal)
2021,61.49,Iconic species (OHI sub-goal)
2016,2.73,Lasting special places (OHI sub-goal)
2017,2.73,Lasting special places (OHI sub-goal)
2018,2.73,Lasting special places (OHI sub-goal)
2019,2.73,Lasting special places (OHI sub-goal)
2020,2.73,Lasting special places (OHI sub-goal)
2021,2.73,Lasting special places (OHI sub-goal)
2016,35.55,Clean water (OHI goal)
2017,35.25,Clean water (OHI goal)
2018,35.25,Clean water (OHI goal)
2019,33.61,Clean water (OHI goal)
2020,33.49,Clean water (OHI goal)
2021,33.37,Clean water (OHI goal)
2016,81.3,Biodiversity (OHI goal)
2017,81.14,Biodiversity (OHI goal)
2018,80.5,Biodiversity (OHI goal)
2019,80.49,Biodiversity (OHI goal)
2020,80.46,Biodiversity (OHI goal)
2021,80.46,Biodiversity (OHI goal)
2016,87.85,Habitat (OHI sub-goal)
2017,87.94,Habitat (OHI sub-goal)
2018,87.08,Habitat (OHI sub-goal)
2019,87.47,Habitat (OHI sub-goal)
2020,87.85,Habitat (OHI sub-goal)
2021,87.85,Habitat (OHI sub-goal)
2016,74.76,Species condition (OHI sub-goal)
2017,74.34,Species condition (OHI sub-goal)
2018,73.92,Species condition (OHI sub-goal)
2019,73.5,Species condition (OHI sub-goal)
2020,73.08,Species condition (OHI sub-goal)
2021,73.08,Species condition (OHI sub-goal)
